x,y,z
7.114286219999999739e+05,3.082705619999999763e+05,9.223700000000000898e+01
7.114360550000000512e+05,3.082778879999999772e+05,9.171900000000000830e+01
7.114102680000000400e+05,3.082367029999999795e+05,9.313200000000000500e+01
7.114104279999999562e+05,3.082368630000000121e+05,9.314000000000000057e+01
7.114401850000000559e+05,3.082751319999999832e+05,9.080800000000000693e+01
7.114095159999999451e+05,3.082331469999999972e+05,9.291899999999999693e+01
7.114127060000000056e+05,3.082442880000000005e+05,9.329999999999999716e+01
7.114271189999999478e+05,3.082683030000000144e+05,9.235000000000000853e+01
7.114149849999999860e+05,3.082471560000000172e+05,9.313700000000000045e+01
7.114554520000000484e+05,3.082671909999999916e+05,8.909100000000000819e+01
7.114171689999999944e+05,3.082611639999999898e+05,9.371500000000000341e+01
7.114051679999999469e+05,3.082298690000000061e+05,9.349200000000000443e+01
7.114171629999999423e+05,3.082706940000000177e+05,9.456600000000000250e+01
7.114060679999999702e+05,3.082379880000000121e+05,9.413299999999999557e+01
7.114085270000000019e+05,3.082237229999999981e+05,9.207000000000000739e+01
7.114335350000000326e+05,3.082525480000000098e+05,9.025799999999999557e+01
7.114110760000000009e+05,3.082376130000000121e+05,9.303300000000000125e+01
7.114313449999999721e+05,3.082679519999999902e+05,9.157800000000000296e+01
7.114172439999999478e+05,3.082500030000000261e+05,9.289400000000000546e+01
7.114075270000000019e+05,3.082349290000000037e+05,9.347400000000000375e+01
7.114149949999999953e+05,3.082473609999999753e+05,9.307300000000000750e+01
7.114315649999999441e+05,3.082761539999999804e+05,9.221500000000000341e+01
7.114291709999999730e+05,3.082272779999999912e+05,9.057699999999999818e+01
7.114124719999999506e+05,3.082137839999999851e+05,9.116700000000000159e+01
7.114223819999999832e+05,3.082631859999999870e+05,9.288700000000000045e+01
7.114276589999999851e+05,3.082666379999999772e+05,9.210900000000000887e+01
7.114258549999999814e+05,3.082623840000000200e+05,9.217400000000000659e+01
7.114326629999999423e+05,3.082768850000000093e+05,9.209300000000000352e+01
7.114247979999999516e+05,3.082595329999999958e+05,9.222400000000000375e+01
7.114256959999999963e+05,3.082701500000000233e+05,9.286299999999999955e+01
7.114241700000000419e+05,3.082577440000000061e+05,9.222599999999999909e+01
7.114298279999999795e+05,3.082687650000000140e+05,9.200600000000000023e+01
7.114339710000000196e+05,3.082783640000000014e+05,9.195400000000000773e+01
7.114048850000000093e+05,3.082382660000000033e+05,9.447100000000000364e+01
7.114426139999999432e+05,3.082471109999999753e+05,8.985600000000000875e+01
7.114058590000000549e+05,3.082352040000000270e+05,9.385000000000000853e+01
7.114289669999999460e+05,3.082736049999999814e+05,9.257699999999999818e+01
7.114124329999999609e+05,3.082553690000000061e+05,9.429999999999999716e+01
